cluster_id,signal_id,source_type,title,published_at,region,source_category,channel,feed_handle
5138,368409,telegram,Война в Персидском заливе заставит Литву разрешить транзит белорусских удобрений? Ранее стало извест…,2026-03-16 09:34:01+00,global,,,
5138,932188,telegram,"Литва просит Трампа ""очистить небо"" – но рискует остаться без зонтикаСпецпосланник США Коул едет к Л…",2026-03-17 18:58:01+00,global,,,
5138,1579030,rss,Лукашенко принял в Минске спецпосланника Трампа Джона Коула,2026-03-19 08:18:00+00,global,russian_state,,interfax
5138,1579045,rss,Лукашенко вновь встретился со спецпосланником США Коулом,2026-03-19 08:57:17+00,global,russian_state,,kommersant
5138,2022527,rss,"СМИ: со спецпредставителем США по Беларуси Коулом встречались Вегеле, Гражулис и Янкунас",2026-03-19 10:09:22+00,global,,,delfi_lt_rus
5138,1612717,rss,"СМИ: со спецпредставителем США по Беларуси Коулом встречались Вегеле, Гражулис и Янкунас",2026-03-19 10:09:22+00,global,baltic_media,,delfi_lt_rus
5138,1612571,rss,Спецпосланник президента США назвал мнение Лукашенко ценным,2026-03-19 11:48:27+00,global,russian_state,,rt_russian
5138,1646715,rss,Коул: ситуация на Ближнем Востоке для США важнее конфликта на Украине,2026-03-19 12:50:18+00,global,russian_state,,rt_russian
5138,1781430,rss,"С белорусских калийных удобрений снимают санкции, а Лукашенко пригласили в США",2026-03-19 20:16:03+00,global,russian_independent,,verstka
5138,1995812,telegram,"🇧🇾🇺🇸Санкции сняты, контакты на новом уровне, мирная инициатива Беларуси высоко оценена в Белом доме🔹…",2026-03-20 09:59:58+00,global,,,
5138,2093806,telegram_channel,"◼️ ПУЛ ПЕРВОГО | ТЕКСТ

▪️Визит Коула, литовские фуры и санкционные парадоксы. Что пишут о Беларуси мировые СМИ?

Каков…",2026-03-21 15:00:10+00,global,,pul_1,
5191,50646,rss,В Литву вернулись более 60% застрявших в Белоруссии грузовиков,2026-03-10 03:20:00+00,global,russian_state,,
5191,53324,rss,В Литву вернулись более 60% застрявших в Белоруссии грузовиков,2026-03-10 05:21:33+00,global,russian_state,,
5191,763697,telegram,"Минск не намерен конфисковывать литовские фуры, заявил премьер Белоруссии""Несмотря на возможность ко…",2026-03-17 09:21:24+00,global,,,
5191,770365,rss,Белоруссия не будет конфисковывать фуры с литовской регистрацией,2026-03-17 09:21:29+00,global,russian_state,,kommersant
