source_type,title,content,url,published_at,region,feed_handle,channel,category
gdelt_gkg,balticbusinessnews.com,,"<PAGE_LINKS>https://shopee.com.my/eufy-by-Anker-Omni-C28-Robot-Vacuum-Cleaner-15-000-Pa-Turbo-Suction-With-Industry-Leading-HydroJet%E2%84%A2-Self-Clean-Roller-Mop-Floor-Cleaning-System-Detangle-Brush-5-in-1-Omni-Station-Real-Hands-Free-Cordless-Vacuum-Jimat-Masa-Lantai-Kilat-i.1067124434.29985253162</PAGE_LINKS><PAGE_AUTHORS>admin</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260214020000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>eufy Raises the Bar for Home Cleaning with Omni C28, Delivering One-Pass-Clean Performance with HydroJet&#x2122; Self-Clean Roller Mop</PAGE_TITLE>",2026-02-15T02:00:00,global,shopee.com.my,,other
gdelt_gkg,balticbusinessnews.com,,<PAGE_LINKS>https://fossibot.live/PR113</PAGE_LINKS><PAGE_AUTHORS>admin</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20251128150000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>FOSSiBOT unveils F113: The World's First 50m Ultra-Long-Distance Infrared Night Vision Rugged Smartphone</PAGE_TITLE>,2026-02-15T02:00:00,global,fossibot.live,,other
gdelt_gkg,balticbusinessnews.com,,<PAGE_AUTHORS>admin</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260213134400</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Expedia CEO Ariane Gorin: We're seeing consumers continue to spend on travel</PAGE_TITLE>,2026-02-15T02:00:00,global,PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Expedia CEO Ariane Gorin: We're seeing consumers continue to spend on travel<,,other
gdelt_gkg,nintendolife.com,,<PAGE_LINKS>https://www.nintendolife.com/news/2026/02/games/nintendo-switch-2/brigandine-abyss</PAGE_LINKS><PAGE_AUTHORS>Nintendo Life;Liam Doolan</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260215055500</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>New Strategy RPG 'Brigandine: Abyss' Is Coming To Switch 2 In 2026</PAGE_TITLE>,2026-02-15T10:00:00,global,www.nintendolife.com,,other
gdelt_gkg,ghanaweb.com,,<PAGE_LINKS>https://www.ghanaweb.com/GhanaHomePage/people/person.php?ID=3181</PAGE_LINKS><PAGE_ALTURL_MOBILE>https://mobile.ghanaweb.com/GhanaHomePage/business/NAP-key-to-job-creation-and-skills-development-Osman-Ayariga-2021790</PAGE_ALTURL_MOBILE><PAGE_TITLE>NAP key to job creation and skills development &#x2013; Osman Ayariga</PAGE_TITLE>,2026-02-15T12:00:00,global,www.ghanaweb.com,,other
gdelt_gkg,guampdn.com,,"<PAGE_AUTHORS>Joe Taitano II Pacific Daily News;Rick Cruz/Pacific Daily News</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260215083000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Tamuning, Barrigada solar farms get OK; 28-unit Yigo subdivision gets extension</PAGE_TITLE>",2026-02-15T13:00:00,global,PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260215083000<,,other
gdelt_gkg,elpasoinc.com,,<PAGE_AUTHORS>MINDAUGAS KULBIS - Associated Press</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260215153400</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Photos show masked revelers celebrating Shrovetide in Lithuania</PAGE_TITLE>,2026-02-15T17:00:00,global,PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Photos show masked revelers celebrating Shrovetide in Lithuania<,,other
gdelt_gkg,birminghammail.co.uk,,<PAGE_LINKS>https://www.birminghammail.co.uk/all-about/bbc;https://www.birminghammail.co.uk/all-about/channel-4;https://www.birminghammail.co.uk/all-about/eastenders;https://www.birminghammail.co.uk/all-about/gogglebox;https://www.birminghammail.co.uk/all-about/im-a-celebrity-get-me-out-of-here;https://www.birminghammail.co.uk/news/showbiz-tv/place-suns-jasmine-harman-most-33427957;https://www.mirror.co.uk/3am/celebrity-news/martin-kemp-emergency-rescue-fire-36724739</PAGE_LINKS><PAGE_AUTHORS>Katy Hallam</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260215162500</PAGE_PRECISEPUBTIMESTAMP><PAGE_ALTURL_AMP>https://www.birminghammail.co.uk/news/showbiz-tv/martin-kemp-rescued-fire-brigade-33430095.amp</PAGE_ALTURL_AMP><PAGE_TITLE>Martin Kemp rescued by fire brigade before gig</PAGE_TITLE>,2026-02-15T17:00:00,global,www.birminghammail.co.uk,,other
gdelt_gkg,londonlovesbusiness.com,,<PAGE_LINKS>https://londonlovesbusiness.com/starmer-blasts-putin-on-his-gamble-of-food-security-and-attempts-to-force-ukraine-into-submission/;https://londonlovesbusiness.com/tag/russia-ukraine/;https://londonlovesbusiness.com/uk-happy-to-assist-us-in-seizing-russian-shadow-fleet-tanker-in-the-english-channel/</PAGE_LINKS><PAGE_AUTHORS>Mark Channer LLB Political Journalist</PAGE_AUTHORS><PAGE_PRECISEPUBTIMESTAMP>20260215142900</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Latvian President warns Putin 'is unwilling to commit to peace' - London Business News</PAGE_TITLE>,2026-02-15T19:00:00,global,londonlovesbusiness.com,,other
gdelt_gkg,slashfilm.com,,<PAGE_LINKS>https://www.slashfilm.com/966426/why-celebrity-stunt-casting-hurts-animated-movies-and-how-hollywood-can-fix-it/</PAGE_LINKS><PAGE_PRECISEPUBTIMESTAMP>20260215180000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Full House's John Stamos Played A Surprising Villain In A Hit DC Comics TV Show</PAGE_TITLE>,2026-02-15T21:00:00,global,www.slashfilm.com,,other
