handle,name,platform,category,tier,lang,signal_count
insider_ua,Інсайдер UA,telegram,unverified_anonymous,T2,uk,12
operativnoZSU,Оперативний ЗСУ,telegram,unverified_anonymous,T1,uk,10
wartranslated,WarTranslated,telegram,trusted,T1,en,9
truexanewsua,Труха⚡️Україна,telegram,unverified_anonymous,T1,uk,6
gerashchenko,Правда Геращенко,telegram,unverified_commentator,T1,uk,6
TCH_channel,ТСН,telegram,trusted,T1,uk,6
suspilne_news,Суспільне Новини,telegram,trusted,T1,uk,4
lachentyt,Лачен пише,telegram,unverified_anonymous,T1,uk,4
spravdi,Справді,telegram,trusted,T1,uk,3
sternenko,Сергій Стерненко,telegram,unverified_commentator,T1,uk,2
rezident_ua,Резидент UA,telegram,unverified_anonymous,T1,uk,1
katz,Максим Кац,youtube,unverified_commentator,T1,ru,1
estmilnews,Estonian Military News,telegram,unverified_media,T2,en,0
nexta_live,NEXTA Live,telegram,unverified_media,T1,ru,0
censor_net,Цензор.НЕТ,telegram,unverified_media,T1,uk,0
uniannet,УНІАН,telegram,unverified_media,T1,uk,0
infodefense_de,InfoDefense DEUTSCH,telegram,ru_proxy,T2,de,0
milloua,Мілітарний,telegram,trusted,T1,uk,0
bez_filtriv,БЕЗ ФІЛЬТРІВ,telegram,unverified_anonymous,T1,uk,0
ukraina_online_24,Україна Online,telegram,unverified_anonymous,T1,uk,0
hromadske,Громадське,telegram,trusted,T2,uk,0
infodefense_eng,InfoDefense ENG,telegram,ru_proxy,T2,en,0
ukraina_online_24,Україна Online,telegram,unverified_anonymous,T1,uk,0
ukr_noviny_war,Україна⚡️Новини⚡️Війна,telegram,unverified_anonymous,T1,uk,0
nevidomy,НЕВІДОМИЙ,telegram,unverified_anonymous,T1,uk,0
baltika_nasha,Балтика — наша,telegram,ru_proxy,T2,ru,0
razvedchik,Розвідник,telegram,ru_proxy,T1,uk,0
rusich_army,Archangel of Special Forces Z,telegram,ru_proxy,T1,ru,0
kotsnews,Котснюз (Alexander Kots),telegram,ru_proxy,T1,ru,0
wargonzo,WarGonzo,telegram,ru_proxy,T1,ru,0
legitimny,Легітимний,telegram,ru_proxy,T1,uk,0
shariy_channel,Анатолій Шарій,telegram,ru_proxy,T1,ru,0
montyan,#МОНТЯН!,telegram,ru_proxy,T1,ru,0
sheikh_tamir,Шейх Тамір,telegram,ru_proxy,T1,ru,0
RVvoenkor,Operation Z / Военкоры,telegram,ru_proxy,T1,ru,0
warfakes,Война с фейками / War on Fakes,telegram,ru_proxy,T2,ru,0
vasilets,Дмитрій Васілець,telegram,ru_proxy,T1,ru,0
povitryani_syly,Повітряні Сили ЗС України,telegram,trusted,T1,uk,0
znaborona,Знай.юа,telegram,unverified_media,T2,uk,0
politeka,Politeka Online,telegram,unverified_media,T2,uk,0
espreso_tv,Еспресо,telegram,trusted,T2,uk,0
