id,cluster_id,first_signal_id,first_source,first_category,first_title,first_published,signal_count,category_count,categories,is_state_origin,created_at
1088,7321,1714856,rss:rss,ru_state,В Думу внесли законопроект о привлечении ВС для защиты россиян за границей,2026-03-19 17:43:01+00,2,1,{ru_state},t,2026-03-23 06:30:27.854355+00
1087,7343,2310871,rss:rss,russian_state,Над Ленинградской областью сбили уже девять беспилотников,2026-03-22 17:56:00+00,2,1,{russian_state},t,2026-03-23 06:30:27.854355+00
1086,7332,736440,rss:rss,ru_state,В ИКИ РАН спрогнозировали сильную магнитную бурю 19 марта,2026-03-17 05:55:15+00,2,1,{ru_state},t,2026-03-23 06:30:27.854355+00
1085,7295,2268511,suspilne_news,trusted,"Британський актор і письменник Стівен Фрай продекламував вірш Василя Симоненка «Ти знаєш, що ти — людина». 

Він…",2026-03-22 13:03:56+00,2,1,{trusted},f,2026-03-23 06:30:27.854355+00
1084,7286,2373202,rss:rss,russian_state,Рютте: усилия Трампа по завершению конфликта на Украине имеют решающее значение,2026-03-23 02:03:52+00,2,1,{russian_state},t,2026-03-23 06:30:27.854355+00
1083,7276,440756,rss:rss,ru_state,Автоэксперт Павлов: после зимнего простоя автомобиль нуждается в проверке,2026-03-16 13:40:41+00,3,1,{ru_state},t,2026-03-23 06:30:27.854355+00
1082,7268,1208691,rss:rss,ru_state,Госдума одобрила проект об ужесточении требований к трудовым мигрантам,2026-03-18 10:58:50+00,2,1,{ru_state},t,2026-03-23 06:30:27.854355+00
1081,7238,2136637,rss:rss,baltic_media,Aizsardzības ministrija sākusi zemju atsavināšanu pierobežā: iedzīvotājiem joprojām trūkst informācijas,2026-03-21 18:29:00+00,2,1,{baltic_media},f,2026-03-23 06:30:27.854355+00
1090,7325,115944,rss:rss,ru_state,5 из 7 футболисток сборной Ирана отказались от убежища в Австралии,2026-03-15 18:57:22+00,2,1,{ru_state},t,2026-03-23 06:30:27.854355+00
1080,7241,2093698,suspilne_news,trusted,В Єврокомісії закликали країни ЄС заповнити газосховища якнайшвидше через ризики щодо затримки поставок енергоносіїв.…,2026-03-21 11:00:07+00,2,2,"{russian_language_ee,trusted}",f,2026-03-23 06:30:27.854355+00
1079,7229,2268710,rusich_army,ru_proxy,"🪖 «Крокус» — два года после страшного теракта 

22 марта было как будто вчера. Этот кровавый день навсегда останется в…",2026-03-22 13:01:01+00,2,1,{ru_proxy},t,2026-03-23 06:30:27.854355+00
1078,7137,2284564,sternenko,unverified_commentator,"18+
Кацап добив свого пораненого товаріща, а потім застрелився сам. 
Які хороші росіяни!",2026-03-22 15:25:17+00,2,2,"{unverified_commentator,unverified_media}",f,2026-03-23 06:30:27.854355+00
1077,7117,669717,rss:rss,trusted,Zelensky signs law on combating discrimination and sexual harassment in military,2026-03-17 02:38:00+00,2,1,{trusted},f,2026-03-23 06:30:27.854355+00
