source_type,day,count,regions
adsb,2026-03-09,2,1
adsb,2026-03-11,7,2
adsb,2026-03-12,1,1
adsb,2026-03-13,3,1
adsb,2026-03-16,3,2
adsb,2026-03-18,11,1
adsb,2026-03-19,11,2
adsb,2026-03-20,2293,27
adsb,2026-03-21,2882,1
adsb,2026-03-22,2013,1
adsb,2026-03-23,3092,1
ais,2026-03-08,37,4
ais,2026-03-09,317,4
ais,2026-03-10,299,4
ais,2026-03-11,309,4
ais,2026-03-12,318,4
ais,2026-03-13,306,4
ais,2026-03-14,2881,11
ais,2026-03-15,15516,12
ais,2026-03-16,62064,11
ais,2026-03-17,62064,12
ais,2026-03-18,62064,12
ais,2026-03-19,62064,11
ais,2026-03-20,33618,12
ais,2026-03-21,60000,1
ais,2026-03-22,141540,1
ais,2026-03-23,113891,1
balloon,2026-03-08,8,5
balloon,2026-03-09,17,8
balloon,2026-03-10,22,8
balloon,2026-03-11,22,9
balloon,2026-03-12,22,5
balloon,2026-03-13,22,6
balloon,2026-03-14,32,8
balloon,2026-03-15,11,6
balloon,2026-03-16,37,5
balloon,2026-03-17,72,6
balloon,2026-03-18,66,7
balloon,2026-03-19,163,6
balloon,2026-03-20,300,10
balloon,2026-03-21,402,1
balloon,2026-03-22,376,1
balloon,2026-03-23,252,1
business,2026-03-06,2,1
business,2026-03-09,3,1
business,2026-03-10,13,1
business,2026-03-11,9,1
business,2026-03-12,25,1
business,2026-03-13,10,1
business,2026-03-15,2,1
business,2026-03-16,8,1
business,2026-03-17,11,1
business,2026-03-18,12,1
business,2026-03-19,10,1
business,2026-03-20,9,1
business,2026-03-21,5,1
business,2026-03-22,3,1
business,2026-03-23,4,1
conflict,2026-03-19,1,1
conflict,2026-03-20,3,1
deepstate,2026-03-15,10,1
deepstate,2026-03-16,10,1
deepstate,2026-03-17,11,1
deepstate,2026-03-18,11,1
deepstate,2026-03-19,12,1
deepstate,2026-03-20,11,1
deepstate,2026-03-21,11,1
deepstate,2026-03-22,11,1
deepstate,2026-03-23,11,1
defense_rss,2026-03-03,1,1
defense_rss,2026-03-05,3,1
defense_rss,2026-03-06,2,1
defense_rss,2026-03-09,1,1
defense_rss,2026-03-10,5,1
defense_rss,2026-03-11,15,1
defense_rss,2026-03-12,13,1
defense_rss,2026-03-13,7,1
defense_rss,2026-03-14,3,1
defense_rss,2026-03-16,11,1
defense_rss,2026-03-17,15,1
defense_rss,2026-03-18,34,1
