hour,source_type,signal_count
2026-03-11 11:00:00+00,milwatch,1
2026-03-11 11:00:00+00,rss,16
2026-03-11 11:00:00+00,rss_security,1
2026-03-11 11:00:00+00,telegram,1
2026-03-11 12:00:00+00,ais,12
2026-03-11 12:00:00+00,balloon,2
2026-03-11 12:00:00+00,gpsjam,12
2026-03-11 12:00:00+00,milwatch,10
2026-03-11 12:00:00+00,rss,35
2026-03-11 12:00:00+00,rss_security,6
2026-03-11 12:00:00+00,ru_legislation,1
2026-03-11 12:00:00+00,telegram,12
2026-03-11 12:00:00+00,youtube,2
2026-03-11 13:00:00+00,ais,12
2026-03-11 13:00:00+00,balloon,1
2026-03-11 13:00:00+00,defense_rss,8
2026-03-11 13:00:00+00,gdelt,1
2026-03-11 13:00:00+00,milwatch,8
2026-03-11 13:00:00+00,rss,29
2026-03-11 13:00:00+00,rss_security,19
2026-03-11 13:00:00+00,telegram,4
2026-03-11 13:00:00+00,youtube,2
2026-03-11 14:00:00+00,adsb,1
2026-03-11 14:00:00+00,ais,13
2026-03-11 14:00:00+00,business,1
2026-03-11 14:00:00+00,defense_rss,5
2026-03-11 14:00:00+00,milwatch,10
2026-03-11 14:00:00+00,rss,29
2026-03-11 14:00:00+00,rss_security,17
2026-03-11 14:00:00+00,telegram,5
2026-03-11 15:00:00+00,adsb,3
2026-03-11 15:00:00+00,ais,13
2026-03-11 15:00:00+00,milwatch,9
2026-03-11 15:00:00+00,rss,22
2026-03-11 15:00:00+00,rss_security,3
2026-03-11 15:00:00+00,telegram,3
2026-03-11 15:00:00+00,youtube,1
2026-03-11 16:00:00+00,ais,12
2026-03-11 16:00:00+00,business,2
2026-03-11 16:00:00+00,milwatch,4
2026-03-11 16:00:00+00,rss,15
2026-03-11 16:00:00+00,rss_security,2
2026-03-11 16:00:00+00,telegram,16
2026-03-11 17:00:00+00,ais,12
2026-03-11 17:00:00+00,milwatch,7
2026-03-11 17:00:00+00,rss,17
2026-03-11 17:00:00+00,rss_security,6
2026-03-11 17:00:00+00,telegram,8
2026-03-11 18:00:00+00,ais,12
2026-03-11 18:00:00+00,milwatch,4
2026-03-11 18:00:00+00,rss,5
2026-03-11 18:00:00+00,rss_security,1
2026-03-11 18:00:00+00,telegram,6
2026-03-11 19:00:00+00,ais,13
2026-03-11 19:00:00+00,defense_rss,1
2026-03-11 19:00:00+00,milwatch,4
2026-03-11 19:00:00+00,rss,4
2026-03-11 19:00:00+00,rss_security,2
2026-03-11 19:00:00+00,telegram,4
2026-03-11 20:00:00+00,ais,12
2026-03-11 20:00:00+00,defense_rss,1
2026-03-11 20:00:00+00,milwatch,2
2026-03-11 20:00:00+00,rss,3
2026-03-11 20:00:00+00,rss_security,4
2026-03-11 20:00:00+00,telegram,5
2026-03-11 21:00:00+00,ais,12
2026-03-11 21:00:00+00,milwatch,3
2026-03-11 21:00:00+00,rss,4
2026-03-11 21:00:00+00,rss_security,2
2026-03-11 22:00:00+00,ais,13
2026-03-11 22:00:00+00,milwatch,1
2026-03-11 22:00:00+00,rss,4
2026-03-11 22:00:00+00,rss_security,1
2026-03-11 23:00:00+00,ais,13
2026-03-11 23:00:00+00,firms,4
2026-03-11 23:00:00+00,gdelt,1
2026-03-11 23:00:00+00,milwatch,1
2026-03-11 23:00:00+00,rss,10
2026-03-11 23:00:00+00,rss_security,1
2026-03-12 00:00:00+00,ais,12
2026-03-12 00:00:00+00,balloon,11
2026-03-12 00:00:00+00,gdelt,2
2026-03-12 00:00:00+00,milwatch,28
2026-03-12 00:00:00+00,osint_perplexity,2
2026-03-12 00:00:00+00,rss,16
2026-03-12 00:00:00+00,rss_security,2
2026-03-12 01:00:00+00,ais,17
2026-03-12 01:00:00+00,milwatch,1
2026-03-12 01:00:00+00,rss,18
2026-03-12 01:00:00+00,rss_security,1
2026-03-12 02:00:00+00,ais,13
2026-03-12 02:00:00+00,milwatch,3
2026-03-12 02:00:00+00,rss,39
2026-03-12 03:00:00+00,ais,14
2026-03-12 03:00:00+00,firms,2
2026-03-12 03:00:00+00,milwatch,3
2026-03-12 03:00:00+00,rss,109
2026-03-12 03:00:00+00,rss_security,1
2026-03-12 04:00:00+00,ais,13
2026-03-12 04:00:00+00,milwatch,3
2026-03-12 04:00:00+00,rss,71
2026-03-12 04:00:00+00,rss_security,2
2026-03-12 05:00:00+00,ais,14
2026-03-12 05:00:00+00,business,3
2026-03-12 05:00:00+00,firms,2
2026-03-12 05:00:00+00,milwatch,4
2026-03-12 05:00:00+00,rss,33
2026-03-12 05:00:00+00,rss_security,3
2026-03-12 05:00:00+00,telegram,2
2026-03-12 06:00:00+00,ais,13
2026-03-12 06:00:00+00,balloon,1
2026-03-12 06:00:00+00,business,1
2026-03-12 06:00:00+00,energy,2
2026-03-12 06:00:00+00,milwatch,4
2026-03-12 06:00:00+00,rss,29
2026-03-12 06:00:00+00,rss_security,2
2026-03-12 06:00:00+00,ru_legislation,1
2026-03-12 06:00:00+00,telegram,7
2026-03-12 07:00:00+00,ais,12
2026-03-12 07:00:00+00,balloon,1
2026-03-12 07:00:00+00,business,2
2026-03-12 07:00:00+00,milwatch,4
2026-03-12 07:00:00+00,rss,37
2026-03-12 07:00:00+00,rss_security,5
2026-03-12 07:00:00+00,telegram,5
2026-03-12 08:00:00+00,ais,12
2026-03-12 08:00:00+00,business,3
2026-03-12 08:00:00+00,milwatch,3
2026-03-12 08:00:00+00,rss,38
2026-03-12 08:00:00+00,rss_security,5
2026-03-12 08:00:00+00,telegram,9
2026-03-12 09:00:00+00,ais,12
2026-03-12 09:00:00+00,balloon,1
2026-03-12 09:00:00+00,business,1
2026-03-12 09:00:00+00,milwatch,5
2026-03-12 09:00:00+00,rss,31
2026-03-12 09:00:00+00,rss_security,4
2026-03-12 09:00:00+00,telegram,4
2026-03-12 10:00:00+00,adsb,1
2026-03-12 10:00:00+00,ais,13
2026-03-12 10:00:00+00,business,6
2026-03-12 10:00:00+00,defense_rss,1
2026-03-12 10:00:00+00,firms,13
2026-03-12 10:00:00+00,milwatch,3
2026-03-12 10:00:00+00,rss,52
2026-03-12 10:00:00+00,rss_security,5
2026-03-12 10:00:00+00,telegram,4
2026-03-12 11:00:00+00,ais,15
2026-03-12 11:00:00+00,balloon,1
2026-03-12 11:00:00+00,defense_rss,1
2026-03-12 11:00:00+00,milwatch,3
2026-03-12 11:00:00+00,rss,42
2026-03-12 11:00:00+00,rss_security,7
2026-03-12 11:00:00+00,telegram,14
2026-03-12 12:00:00+00,ais,14
2026-03-12 12:00:00+00,balloon,4
2026-03-12 12:00:00+00,gpsjam,12
2026-03-12 12:00:00+00,milwatch,10
2026-03-12 12:00:00+00,rss,34
2026-03-12 12:00:00+00,rss_security,1
2026-03-12 12:00:00+00,telegram,4
2026-03-12 13:00:00+00,ais,13
2026-03-12 13:00:00+00,balloon,1
2026-03-12 13:00:00+00,business,2
2026-03-12 13:00:00+00,defense_rss,1
2026-03-12 13:00:00+00,milwatch,13
2026-03-12 13:00:00+00,rss,29
2026-03-12 13:00:00+00,rss_security,5
2026-03-12 13:00:00+00,telegram,7
2026-03-12 13:00:00+00,youtube,5
2026-03-12 14:00:00+00,ais,15
2026-03-12 14:00:00+00,business,1
2026-03-12 14:00:00+00,defense_rss,2
2026-03-12 14:00:00+00,gdelt,1
2026-03-12 14:00:00+00,milwatch,9
2026-03-12 14:00:00+00,rss,33
2026-03-12 14:00:00+00,rss_security,10
2026-03-12 14:00:00+00,telegram,6
2026-03-12 15:00:00+00,ais,13
2026-03-12 15:00:00+00,defense_rss,1
2026-03-12 15:00:00+00,milwatch,6
2026-03-12 15:00:00+00,rss,28
2026-03-12 15:00:00+00,rss_security,3
2026-03-12 15:00:00+00,telegram,11
2026-03-12 15:00:00+00,youtube,1
2026-03-12 16:00:00+00,ais,15
2026-03-12 16:00:00+00,business,2
2026-03-12 16:00:00+00,milwatch,5
2026-03-12 16:00:00+00,rss,35
2026-03-12 16:00:00+00,rss_security,5
2026-03-12 16:00:00+00,telegram,6
2026-03-12 17:00:00+00,ais,12
2026-03-12 17:00:00+00,defense_rss,2
2026-03-12 17:00:00+00,milwatch,4
2026-03-12 17:00:00+00,rss,82
2026-03-12 17:00:00+00,rss_security,9
2026-03-12 17:00:00+00,telegram,13
2026-03-12 18:00:00+00,ais,14
2026-03-12 18:00:00+00,business,1
2026-03-12 18:00:00+00,defense_rss,1
2026-03-12 18:00:00+00,milwatch,7
2026-03-12 18:00:00+00,rss,58
2026-03-12 18:00:00+00,rss_security,4
2026-03-12 18:00:00+00,telegram,5
2026-03-12 19:00:00+00,ais,14
2026-03-12 19:00:00+00,business,1
2026-03-12 19:00:00+00,defense_rss,1
2026-03-12 19:00:00+00,milwatch,5
2026-03-12 19:00:00+00,rss,49
2026-03-12 19:00:00+00,rss_security,1
2026-03-12 19:00:00+00,telegram,2
2026-03-12 20:00:00+00,ais,12
2026-03-12 20:00:00+00,business,2
2026-03-12 20:00:00+00,defense_rss,2
