date,region,score,level,trend,components,computed_at
2026-02-05,baltic,4.5,GREEN,STABLE,"{""fimi"": 4.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.929774+00
2026-02-06,baltic,5.5,GREEN,STABLE,"{""fimi"": 5.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.924419+00
2026-02-07,baltic,4.5,GREEN,STABLE,"{""fimi"": 4.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.919366+00
2026-02-08,baltic,4.5,GREEN,STABLE,"{""fimi"": 4.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.913886+00
2026-02-09,baltic,4.5,GREEN,STABLE,"{""fimi"": 4.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.90735+00
2026-02-10,baltic,4.5,GREEN,STABLE,"{""fimi"": 4.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.901341+00
2026-02-11,baltic,4.5,GREEN,STABLE,"{""fimi"": 4.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.895474+00
2026-02-12,baltic,6.2,GREEN,STABLE,"{""fimi"": 4.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 1.7}",2026-03-06 22:06:09.88931+00
2026-02-13,baltic,17.3,GREEN,RISING,"{""fimi"": 4, ""hybrid"": 6.0, ""economic"": 0, ""security"": 7.3}",2026-03-08 08:40:36.731395+00
2026-02-14,baltic,7.7,GREEN,STABLE,"{""fimi"": 6.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 1.7}",2026-03-06 22:06:09.874796+00
2026-02-15,baltic,6,GREEN,FALLING,"{""fimi"": 6.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.86829+00
2026-02-16,baltic,6,GREEN,FALLING,"{""fimi"": 6.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.861263+00
2026-02-17,baltic,6,GREEN,FALLING,"{""fimi"": 6.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-06 22:06:09.85318+00
2026-02-18,baltic,11.594225,GREEN,FALLING,"{""fimi"": 6.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 3.4}",2026-03-20 21:35:33.195377+00
2026-02-18,finland,10.932268,GREEN,STABLE,,2026-03-20 21:35:34.600041+00
2026-02-18,poland,14.589677,GREEN,STABLE,,2026-03-20 21:35:35.78531+00
2026-02-19,baltic,11.577658,GREEN,FALLING,"{""fimi"": 6.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.210551+00
2026-02-19,finland,12.824176,GREEN,STABLE,,2026-03-20 21:35:34.608503+00
2026-02-19,poland,13.151804,GREEN,STABLE,,2026-03-20 21:35:35.793119+00
2026-02-20,baltic,21.481598,YELLOW,FALLING,"{""fimi"": 6.5, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.223617+00
2026-02-20,finland,18.908133,YELLOW,STABLE,,2026-03-20 21:35:34.618768+00
2026-02-20,poland,19.394323,YELLOW,STABLE,,2026-03-20 21:35:35.799622+00
2026-02-21,baltic,13.816956,GREEN,STABLE,"{""fimi"": 4.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.241796+00
2026-02-21,finland,12.804113,GREEN,STABLE,,2026-03-20 21:35:34.625218+00
2026-02-21,poland,19.250648,YELLOW,STABLE,,2026-03-20 21:35:35.806428+00
2026-02-22,baltic,10.1424055,GREEN,STABLE,"{""fimi"": 4.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.251562+00
2026-02-22,finland,18.614235,YELLOW,STABLE,,2026-03-20 21:35:34.630225+00
2026-02-22,poland,15.881262,YELLOW,STABLE,,2026-03-20 21:35:35.815728+00
2026-02-23,baltic,15.78829,YELLOW,STABLE,"{""fimi"": 4.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.260606+00
2026-02-23,finland,21.645466,YELLOW,STABLE,,2026-03-20 21:35:34.634573+00
2026-02-23,poland,21.39553,YELLOW,STABLE,,2026-03-20 21:35:35.820778+00
