cluster_id,size,tfidf_coherence,min_pairwise,mean_centroid_sim,min_centroid_sim,n_categories,has_state,has_trusted,is_mixed,is_mega,subclusters_at_0.82
5112,11,0.1591,0.0109,0.8936,0.7928,0,True,True,True,True,8
5114,14,0.1098,0.0063,0.8419,0.7552,1,True,False,False,True,14
5119,14,0.0801,0.0000,0.8608,0.7750,0,False,True,False,True,12
5123,15,0.1173,0.0009,0.8517,0.7618,0,True,True,True,True,13
5138,11,0.0923,0.0041,0.7916,0.7506,3,True,True,True,True,10
5142,15,0.1901,0.0315,0.8208,0.7512,2,True,False,False,True,15
5143,11,0.1049,0.0000,0.8501,0.7524,4,False,True,False,True,10
5147,12,0.2239,0.0219,0.8214,0.7582,4,False,True,False,True,10
5152,15,0.1742,0.0380,0.8001,0.7563,2,True,True,True,True,11
5159,13,0.3083,0.0562,0.8122,0.7644,2,True,False,False,True,7
5195,15,0.1584,0.0000,0.8566,0.7928,0,True,True,True,True,14
5200,15,0.0628,0.0000,0.8140,0.7502,4,False,True,False,True,14
5229,15,0.1557,0.0294,0.8109,0.7615,1,True,False,False,True,12
5237,12,0.1421,0.0000,0.8211,0.7674,3,True,True,True,True,9
5243,15,0.1608,0.0000,0.8219,0.7504,1,True,False,False,True,13
5265,11,0.0671,0.0000,0.8253,0.7671,2,False,True,False,True,11
5268,15,0.0871,0.0000,0.8385,0.7540,0,True,True,True,True,14
5281,15,0.0741,0.0000,0.8194,0.7607,1,True,False,False,True,14
5285,11,0.1307,0.0211,0.8001,0.7511,1,False,False,False,True,11
5288,11,0.1850,0.0838,0.8132,0.7639,0,False,False,False,True,10
5295,15,0.1256,0.0193,0.8037,0.7532,1,False,False,False,True,13
5318,15,0.0563,0.0024,0.8190,0.7576,2,True,False,False,True,15
5328,15,0.0723,0.0000,0.8019,0.7555,2,True,True,True,True,13
5333,14,0.0780,0.0032,0.8203,0.7661,2,True,False,False,True,14
5343,15,0.1712,0.0000,0.8992,0.8179,5,True,True,True,True,10
5352,14,0.1239,0.0213,0.8288,0.7517,2,True,True,True,True,13
5363,14,0.2196,0.0018,0.8743,0.7602,1,True,False,False,True,14
5365,15,0.1626,0.0290,0.8070,0.7514,0,False,False,False,True,14
5369,15,1.0000,1.0000,1.0000,1.0000,0,False,False,False,True,1
5372,11,0.1770,0.0630,0.8158,0.7523,1,False,False,False,True,11
5375,15,0.0301,0.0000,0.7880,0.7521,2,True,False,False,True,15
5382,15,0.1247,0.0130,0.8061,0.7521,0,False,False,False,True,14
5418,15,0.1766,0.0000,0.8178,0.7648,1,True,True,True,True,9
5460,15,0.1159,0.0000,0.8207,0.7524,5,False,True,False,True,12
5461,14,0.2890,0.0000,0.8446,0.7714,6,True,True,True,True,9
5492,11,0.1338,0.0272,0.8042,0.7527,0,False,False,False,True,10
5496,15,0.1127,0.0000,0.8146,0.7579,3,True,True,True,True,15
5550,13,0.1224,0.0000,0.8059,0.7504,2,False,True,False,True,13
5554,13,0.1948,0.0000,0.8268,0.7624,2,True,False,False,True,10
5567,11,0.0311,0.0034,0.7941,0.7528,2,True,False,False,True,11
5569,15,0.1642,0.0303,0.8376,0.7635,2,True,False,False,True,14
5580,15,0.1255,0.0261,0.7968,0.7635,1,False,False,False,True,14
5625,13,0.1012,0.0000,0.8303,0.7599,5,True,True,True,True,12
5656,13,0.0884,0.0000,0.8217,0.7710,4,True,True,True,True,13
5669,15,0.0309,0.0000,0.8159,0.7598,2,True,False,False,True,15
5677,15,0.0453,0.0018,0.8171,0.7528,2,True,False,False,True,15
5694,15,0.1178,0.0000,0.8189,0.7749,2,True,False,False,True,15
5727,15,0.1869,0.0304,0.8195,0.7806,0,False,False,False,True,14
5728,15,0.0371,0.0000,0.8016,0.7511,1,True,False,False,True,15
5740,11,0.1210,0.0000,0.8105,0.7539,3,True,True,True,True,10
5745,13,0.4254,0.0368,0.8882,0.7502,1,False,False,False,True,7
5768,15,0.0687,0.0000,0.8489,0.7531,5,True,True,True,True,15
