outlet,group,n_clusters,n_signals,eigenvector_centrality,degree_centrality,betweenness_centrality
uniannet,ukraine,58,63,0.446266,0.152778,0.007042
TCH_channel,ukraine,39,48,0.427259,0.111111,0.001565
insider_ua,ukraine,40,45,0.339776,0.083333,0.000000
truexanewsua,ukraine,37,41,0.330562,0.097222,0.002739
lachentyt,ru_state,34,36,0.295497,0.097222,0.001565
suspilne_news,ukraine,36,56,0.293540,0.083333,0.000391
operativnoZSU,ukraine,51,70,0.271958,0.097222,0.004695
gerashchenko,ukraine,49,54,0.261823,0.083333,0.001956
RVvoenkor,ru_state,49,62,0.194439,0.097222,0.016823
nexta_live,independent,46,58,0.130361,0.055556,0.005086
sternenko,ukraine,33,45,0.099002,0.041667,0.000782
wartranslated,independent,39,50,0.085401,0.027778,0.000000
colonel_cassad,ru_state,89,112,0.054207,0.041667,0.003521
rybar,ru_state,37,45,0.043847,0.055556,0.005869
voenacher,ru_state,25,26,0.027882,0.041667,0.005869
rusich_army,ru_state,20,33,0.006265,0.013889,0.000000
wargonzo,ru_state,15,18,0.002746,0.013889,0.000000
15min_lt,trusted,16,21,0.000000,0.013889,0.000000
15min_lt_lt,trusted,10,11,0.000000,0.013889,0.000000
_generic_baltic_media,trusted,154,210,0.000000,0.013889,0.000000
_generic_data_source,data_source,84,154,0.000000,0.000000,0.000000
_generic_defense_osint,osint,55,81,0.000000,0.027778,0.000391
_generic_estonian_media,trusted,214,308,0.000000,0.027778,0.000000
_generic_government,trusted,5,7,0.000000,0.000000,0.000000
_generic_pro_kremlin,ru_state,32,35,0.000000,0.027778,0.000782
_generic_ru_state,ru_state,215,387,0.000000,0.013889,0.000000
_generic_russian_independent,independent,23,27,0.000000,0.013889,0.000000
_generic_russian_language_ee,ru_proxy,44,56,0.000000,0.041667,0.001565
_generic_russian_state,ru_state,580,1733,0.000000,0.013889,0.000000
_generic_social_media,unknown,8,11,0.000000,0.000000,0.000000
_generic_t1,trusted,95,116,0.000000,0.027778,0.000000
_generic_t2,trusted,153,173,0.000000,0.013889,0.000000
_generic_ukraine_media,ukraine,170,233,0.000000,0.000000,0.000000
bellingcat,unknown,5,6,0.000000,0.000000,0.000000
breaking_defense,trusted,20,21,0.000000,0.013889,0.000000
deepstatemap,ukraine,12,18,0.000000,0.000000,0.000000
defence_blog,trusted,25,29,0.000000,0.013889,0.000000
defrss,unknown,8,9,0.000000,0.000000,0.000000
delfi_lt_rus,trusted,20,29,0.000000,0.000000,0.000000
dva_majors,ru_state,31,36,0.000000,0.000000,0.000000
err_business,trusted,9,9,0.000000,0.000000,0.000000
err_en,trusted,20,23,0.000000,0.000000,0.000000
err_rus,trusted,23,26,0.000000,0.000000,0.000000
interfax,ru_state,22,35,0.000000,0.041667,0.000000
kommersant,ru_state,25,36,0.000000,0.041667,0.000000
lenta_ru,ru_state,11,11,0.000000,0.000000,0.000000
lsm_en,trusted,13,14,0.000000,0.000000,0.000000
lsm_rus,trusted,19,19,0.000000,0.000000,0.000000
lv_portals,trusted,17,17,0.000000,0.000000,0.000000
meduza,unknown,5,5,0.000000,0.013889,0.000000
mke_ee,trusted,15,15,0.000000,0.013889,0.000000
montyan,ru_state,21,27,0.000000,0.000000,0.000000
nach_shtabu,ru_state,16,16,0.000000,0.000000,0.000000
notesfrompoland,unknown,9,9,0.000000,0.000000,0.000000
postimees_en,unknown,7,7,0.000000,0.000000,0.000000
postimees_et,trusted,21,21,0.000000,0.000000,0.000000
postimees_rus,trusted,15,15,0.000000,0.013889,0.000000
pravda_en,unknown,6,6,0.000000,0.000000,0.000000
pul_1,ru_state,19,29,0.000000,0.027778,0.000000
readovkanews,ru_state,39,42,0.000000,0.000000,0.000000
rezident_ua,ru_state,16,18,0.000000,0.000000,0.000000
rt_russian,ru_state,34,43,0.000000,0.055556,0.000391
shot_shot,ru_state,28,32,0.000000,0.000000,0.000000
spravdi,trusted,18,19,0.000000,0.000000,0.000000
tass_ru,ru_state,53,64,0.000000,0.055556,0.000782
tribuna_ee,trusted,9,9,0.000000,0.013889,0.000000
tvnet,unknown,6,6,0.000000,0.000000,0.000000
ukrinform,trusted,13,13,0.000000,0.000000,0.000000
vz_lt,trusted,11,11,0.000000,0.000000,0.000000
warfakes,ru_state,16,20,0.000000,0.000000,0.000000
yle_en,unknown,8,8,0.000000,0.013889,0.000000
yle_fi,unknown,6,6,0.000000,0.013889,0.000000
yurasumy,ru_state,18,22,0.000000,0.000000,0.000000
