cluster_id,label,density,avg_clustering,degree_cv,n_categories,source_type_entropy,gap_cv,n_signals,n_sources,span_hours
5112,unlabeled,0.6333,0.9333,0.2354,0,-0.0,0.7426,11,6,34.89
5114,unlabeled,0.2727,0.7687,0.2887,1,0.5917,2.015,14,12,132.39
5117,unlabeled,0.6667,1.0,0.1768,2,-0.0,1.0817,5,3,185.94
5119,unlabeled,0.2527,0.7633,0.228,0,1.0,2.4968,14,14,17.32
5120,unlabeled,0.5,1.0,0.0,0,0.971,0.8937,5,5,1.05
5121,unlabeled,0.5,1.0,0.0,0,0.971,1.3068,5,5,24.57
5122,unlabeled,0.75,1.0,0.1826,0,0.5917,2.1618,7,5,29.4
5123,unlabeled,0.5357,0.8774,0.2981,0,-0.0,1.9328,15,8,20.96
5124,unlabeled,0.5,0.0,0.0,1,-0.0,1.0059,10,2,187.63
5125,unlabeled,0.8333,1.0,0.1414,0,0.8113,1.1812,4,3,4.02
5126,unlabeled,1.0,0.0,0.0,0,-0.0,0.8845,3,2,28.34
5131,unlabeled,0.5,1.0,0.0,0,-0.0,0.6992,3,3,24.18
5134,unlabeled,0.5,1.0,0.0,0,-0.0,1.0081,4,4,4.0
5138,hostile,0.5833,0.8333,0.3194,3,1.2407,1.1349,11,4,125.44
5142,unlabeled,0.65,0.9,0.2551,2,-0.0,1.2934,15,5,324.7
5143,unlabeled,0.55,1.0,0.1113,4,1.3093,1.2154,11,5,217.76
5147,unlabeled,0.6,1.0,0.1559,4,0.4138,1.7289,12,5,261.82
5148,unlabeled,0.5,1.0,0.0,0,0.7219,1.2345,5,5,22.81
5149,unlabeled,0.5833,1.0,0.1429,0,-0.0,1.7737,6,4,29.48
5150,unlabeled,0.5,1.0,0.0,0,0.65,0.8691,6,5,3.37
5151,unlabeled,0.5,1.0,0.0,0,0.9183,0.8265,3,3,23.09
5152,unlabeled,0.75,1.0,0.1826,2,0.5665,1.7187,15,5,85.63
5154,unlabeled,0.5,0.0,0.0,1,-0.0,0.7429,4,2,79.45
5157,unlabeled,0.5,1.0,0.0,0,-0.0,0.8725,3,3,4.75
5158,unlabeled,0.5,0.0,0.0,1,-0.0,0.2396,3,2,46.86
5159,unlabeled,0.5,0.0,0.0,2,-0.0,0.6915,13,2,262.34
5161,unlabeled,0.5,0.0,0.0,3,-0.0,0.858,4,2,242.69
5163,unlabeled,0.5,1.0,0.0,2,-0.0,1.3853,4,3,117.53
5165,unlabeled,0.5,0.0,0.0,0,-0.0,0.3093,3,2,23.6
5174,unlabeled,0.5,0.0,0.0,2,0.8113,0.7164,4,2,60.14
5183,unlabeled,0.5,0.0,0.0,0,0.9183,0.041,3,2,9.56
5186,unlabeled,0.5,1.0,0.0,1,0.9852,1.7091,7,4,214.17
5187,unlabeled,0.5,1.0,0.0,1,0.8113,0.3714,4,4,37.74
5191,clean,0.6667,1.0,0.1768,1,1.0,1.5027,8,3,264.81
5192,unlabeled,0.5,1.0,0.0,1,-0.0,1.4153,8,3,130.88
5193,unlabeled,0.5,1.0,0.0,1,1.371,0.8213,5,5,82.79
5195,unlabeled,0.3141,0.7902,0.2879,0,0.9183,1.2953,15,13,6.69
5196,unlabeled,1.0,0.0,0.0,0,-0.0,0.8827,8,2,72.7
5200,unlabeled,0.6,0.8667,0.2041,4,0.7219,0.9367,15,5,207.33
5201,unlabeled,0.5,1.0,0.0,0,-0.0,0.6801,4,4,2.38
5203,unlabeled,0.5,0.0,0.0,1,-0.0,0.5985,3,2,189.1
5204,unlabeled,1.0,0.0,0.0,1,-0.0,1.0,3,2,6.98
5205,unlabeled,0.6667,1.0,0.1768,4,-0.0,1.1034,7,4,25.7
5207,unlabeled,0.5,0.9,0.1581,2,-0.0,1.2534,7,5,8.74
5208,unlabeled,0.5833,0.8333,0.3194,0,-0.0,1.132,8,4,4.45
5212,unlabeled,0.5,1.0,0.0,1,-0.0,1.2638,5,3,252.92
5214,unlabeled,0.5,0.0,0.0,1,-0.0,0.8542,4,2,75.17
5218,unlabeled,0.5,1.0,0.0,1,-0.0,0.8167,3,3,28.37
5223,unlabeled,0.5,1.0,0.0,0,-0.0,0.2832,4,3,1.3
5226,unlabeled,0.5,0.0,0.0,0,0.9183,0.8297,3,2,2.53
5229,unlabeled,0.4464,0.775,0.1744,1,0.7219,1.1463,15,8,4.22
5232,unlabeled,0.6667,1.0,0.1768,0,0.65,1.251,6,3,2.71
5236,unlabeled,0.6667,1.0,0.0,3,0.5033,2.1244,9,4,171.94
5237,clean,0.8333,1.0,0.1414,3,0.4138,1.7319,12,3,23.4
5240,unlabeled,0.5,1.0,0.0,1,0.9183,0.7755,3,3,3.73
5242,unlabeled,0.5,0.0,0.0,2,-0.0,0.6821,3,2,66.51
5243,unlabeled,0.5833,1.0,0.1429,1,-0.0,1.8536,15,4,80.48
5247,unlabeled,0.4286,0.8857,0.162,0,1.3788,1.3342,7,7,106.59
5249,unlabeled,0.5,0.0,0.0,2,0.9183,0.5945,3,2,112.47
5252,unlabeled,0.5,1.0,0.0,1,0.9183,1.0,3,3,2.35
5253,unlabeled,0.5,1.0,0.0,1,0.65,1.9323,6,5,24.96
5254,unlabeled,0.5,1.0,0.0,1,-0.0,1.0,3,3,4.7
5258,unlabeled,0.6667,1.0,0.1768,0,-0.0,0.5273,4,3,5.57
5264,clean,0.5,0.0,0.0,6,-0.0,1.8981,8,2,170.25
5265,unlabeled,0.6667,1.0,0.1768,2,0.8454,1.5556,11,3,102.65
5268,clean,0.3778,0.8405,0.3275,0,0.5665,2.2185,15,10,49.61
5276,unlabeled,0.5,0.0,0.0,1,-0.0,1.0,3,2,242.27
5277,unlabeled,1.0,0.0,0.0,0,0.9183,0.7856,3,2,1.25
5278,clean,0.6667,1.0,0.1768,4,0.65,1.1607,6,3,99.44
5281,unlabeled,0.5,1.0,0.0,1,0.3534,1.5745,15,4,346.63
5286,unlabeled,0.5,0.8444,0.3464,0,-0.0,2.0519,8,6,53.4
5295,unlabeled,0.8333,1.0,0.1414,1,0.5665,0.9875,15,3,100.0
5299,unlabeled,0.8333,1.0,0.1414,1,-0.0,1.4142,4,3,21.9
5304,unlabeled,0.8333,1.0,0.1414,1,0.8631,1.0011,7,3,94.58
5307,unlabeled,0.5,0.0,0.0,2,-0.0,1.0,3,2,45.93
5311,unlabeled,1.0,0.0,0.0,2,-0.0,1.2946,5,2,95.75
5313,unlabeled,0.6667,1.0,0.1768,1,1.0,1.2971,4,3,51.05
5323,unlabeled,0.6667,1.0,0.1768,1,-0.0,1.4142,4,3,1.07
5328,clean,0.4107,0.8333,0.2259,2,1.4566,1.9905,15,8,268.75
5334,unlabeled,0.5,0.0,0.0,2,-0.0,0.854,3,2,16.54
5340,hostile,0.8333,1.0,0.1414,2,0.8113,1.6518,8,3,20.66
5341,unlabeled,0.5,0.0,0.0,2,1.0,0.7077,4,2,172.41
5343,clean,0.65,0.9,0.2551,5,0.3534,1.4263,15,5,35.46
