cluster_id,signal_count,state_ratio,state_count,category_count,source_count,source_type_count,span_hours,burstiness,has_state,has_trusted,is_mixed,label,label_source,label_confidence,hostile_narrative,operation,is_state_origin
5138,11,0.3636,4,3,3,3,125.44,0.0632,1,1,1,hostile,framing_analysis,0.8,,Hostile framing of US envoy's statements to legitimize Lukashenko and downplay U,False
5340,8,0.5,4,2,2,2,20.66,0.2458,1,1,1,hostile,framing_analysis,0.7,,Exaggerated diplomatic breakthrough,False
5461,14,0.2143,3,6,3,2,53.02,0.5344,1,1,1,hostile,framing_analysis,0.8,nato_provocation,Hedging language used to question airspace violation claims and dismiss them as ,False
5496,15,0.6667,10,3,2,1,25.48,0.3846,1,1,1,hostile,framing_analysis,0.9,baltic_failed_states,Hostile framing of a legal decision as politically motivated and dangerous,True
5928,7,0.5714,4,2,3,1,214.02,0.1375,1,1,1,hostile,framing_analysis,0.8,western_fatigue,Hostile framing of NATO's internal divisions,False
6015,3,0.3333,1,2,2,2,182.49,-0.7688,1,1,1,hostile,framing_analysis,0.9,,Omission of Russian involvement in shadow fleet activities,True
5112,11,0.0,0,0,6,1,34.89,-0.1477,0,0,0,unlabeled,unlabeled,0,,,False
5113,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5114,14,0.0714,1,1,12,2,132.39,0.3367,1,0,0,unlabeled,unlabeled,0,,,True
5115,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5116,1,0.0,0,0,1,1,0,0,0,0,0,unlabeled,unlabeled,0,,,
5117,5,0.2,1,2,3,1,185.94,0.0392,1,1,1,unlabeled,unlabeled,0,,,True
5118,2,0.0,0,0,2,1,0.0,-1.0,0,0,0,unlabeled,unlabeled,0,,,False
5119,14,0.0,0,0,14,2,17.32,0.4281,0,0,0,unlabeled,unlabeled,0,,,False
5120,5,0.0,0,0,5,2,1.05,-0.0561,0,0,0,unlabeled,unlabeled,0,,,False
5121,5,0.0,0,0,5,2,24.57,0.133,0,0,0,unlabeled,unlabeled,0,,,False
5122,7,0.0,0,0,5,2,29.4,0.3675,0,0,0,unlabeled,unlabeled,0,,,True
5123,15,0.0,0,0,8,1,20.96,0.318,0,0,0,unlabeled,unlabeled,0,,,False
5124,10,0.7,7,1,2,1,187.63,0.0029,1,0,0,unlabeled,unlabeled,0,,,True
5125,4,0.0,0,0,3,2,4.02,0.0831,0,0,0,unlabeled,unlabeled,0,,,True
5126,3,0.0,0,0,2,1,28.34,-0.0613,0,0,0,unlabeled,unlabeled,0,,,False
5127,2,0.0,0,0,2,1,2.47,-1.0,0,0,0,unlabeled,unlabeled,0,,,True
