cluster_id,signal_count,first_category,is_state_origin,category_count,source_count,amplification_ratio,state_ratio,span_hours,is_hostile,flagged_current,flagged_agnostic
7276,3,ru_state,True,1,1,1.0,0.6667,16.75,,True,False
6936,3,ru_proxy,True,1,2,0.0,0.0,10.39,,False,False
7330,3,ru_state,True,1,1,1.0,1.0,19.89,,True,False
7305,3,ru_proxy,True,1,3,0.0,0.0,0.23,,False,False
7212,4,ru_state,True,1,1,1.0,0.5,77.21,,True,False
7179,7,trusted,False,2,6,0.1429,0.0,97.83,,False,False
7124,4,ru_state,True,1,1,1.0,0.5,24.74,,True,False
7043,4,ru_proxy,True,1,4,0.0,0.0,1.86,,False,False
6987,4,ru_state,True,1,1,1.0,0.75,100.44,,True,False
6955,3,ru_proxy,True,1,1,0.0,0.0,23.73,,False,False
6931,3,russian_state,True,2,2,0.0,0.0,0.22,,False,False
6835,3,ru_state,True,3,3,0.3333,0.3333,43.2,,True,True
7273,3,ru_state,True,1,1,1.0,0.3333,45.2,,True,False
7193,4,ru_state,True,1,1,1.0,0.75,100.02,,True,False
7184,3,ru_state,True,1,1,1.0,1.0,2.08,,True,False
7196,4,ru_state,True,1,1,1.0,0.75,46.51,,True,False
7050,4,unverified_anonymous,False,2,4,0.0,0.0,2.95,,False,False
7044,3,unverified_anonymous,False,1,3,0.0,0.0,0.91,,False,False
6948,4,unverified_commentator,False,1,1,0.0,0.0,20.55,,False,False
6934,6,trusted,False,1,2,0.5,0.0,166.5,,False,False
6856,3,unverified_commentator,False,2,3,0.0,0.0,1.28,,False,False
6812,4,ru_state,True,3,4,0.25,0.25,126.57,,False,True
6799,3,ru_proxy,True,2,2,0.0,0.0,1.11,,False,False
6457,4,ru_proxy,True,1,2,0.0,0.0,35.46,,False,False
7006,5,ru_state,True,1,1,1.0,1.0,27.9,,True,False
6509,4,ru_proxy,True,2,3,0.0,0.0,29.56,,False,False
6661,3,unverified_anonymous,False,1,1,0.0,0.0,9.95,,False,False
6688,3,ru_proxy,True,1,1,0.0,0.0,43.56,,False,False
6701,5,unverified_anonymous,False,2,4,0.0,0.0,38.88,,False,False
6842,5,ru_proxy,True,1,4,0.0,0.0,28.31,,False,False
6875,3,ru_state,True,1,1,1.0,1.0,47.67,,True,False
6917,4,ru_state,True,1,1,1.0,0.5,52.4,,True,False
6990,3,ru_proxy,True,1,1,0.0,0.0,72.9,,False,False
7018,3,ru_state,True,1,1,1.0,1.0,55.41,,True,False
7001,3,ru_state,True,1,1,1.0,1.0,2.64,,True,False
7023,4,ru_state,True,1,1,1.0,0.75,49.99,,True,False
7056,3,unverified_media,False,1,3,0.0,0.0,36.24,,False,False
7069,3,unverified_media,False,2,3,0.0,0.0,17.48,,False,False
7064,3,ru_proxy,True,1,3,0.0,0.0,48.19,,False,False
7090,5,ru_proxy,True,1,3,0.0,0.0,71.93,,False,False
7111,3,ru_state,True,1,1,1.0,1.0,3.77,,True,False
7126,3,ru_state,True,1,1,1.0,0.6667,95.74,,True,False
7121,6,ru_state,True,1,1,1.0,0.8333,90.44,,True,False
7107,5,ru_state,True,1,1,1.0,1.0,45.76,,True,False
7125,6,ru_state,True,1,1,1.0,0.5,79.85,,True,False
7116,8,ru_state,True,1,1,1.0,0.625,87.15,,True,False
7119,3,ru_state,True,2,2,0.6667,0.0,4.18,,False,True
7132,3,ru_proxy,True,1,2,0.0,0.0,8.03,,False,False
7142,3,trusted,False,2,3,0.0,0.0,1.69,,False,False
5157,3,unverified_media,False,2,3,0.0,0.0,4.75,,False,False
7170,3,ru_state,True,1,1,1.0,1.0,15.61,,True,False
7181,3,ru_state,True,1,1,1.0,0.6667,91.91,,True,False
7200,3,ru_state,True,1,1,1.0,1.0,10.9,,True,False
7188,5,ru_state,True,1,1,1.0,0.4,61.99,,True,False
6908,4,trusted,False,1,1,1.0,0.0,94.25,,False,False
6882,4,ru_state,True,1,1,1.0,1.0,20.01,,True,False
6813,4,trusted,False,1,2,0.0,0.0,2.97,,False,False
6742,3,ru_state,True,1,1,1.0,1.0,19.28,,True,False
6736,3,ru_state,True,1,1,1.0,1.0,42.2,,True,False
6706,4,unverified_commentator,False,2,4,0.0,0.0,52.95,,False,False
6675,3,unverified_anonymous,False,2,3,0.0,0.0,2.12,,False,False
6505,3,ru_proxy,True,2,3,0.0,0.0,11.23,,False,False
6428,3,baltic_media,False,1,2,0.0,0.0,13.47,,False,False
5713,3,ru_state,True,1,1,1.0,1.0,24.01,,True,False
5320,3,ru_state,True,1,1,0.0,0.0,1.9,,False,False
5240,3,ru_state,True,2,3,0.3333,0.3333,3.73,,True,True
6747,8,ru_state,True,1,1,1.0,0.75,104.34,,True,False
7104,4,ru_state,True,1,1,1.0,1.0,45.88,,True,False
7067,3,unverified_anonymous,False,2,3,0.0,0.0,1.8,,False,False
7048,5,unverified_media,False,1,4,0.0,0.0,17.22,,False,False
7029,15,ru_state,True,1,2,0.9333,0.9333,142.35,,True,False
7045,4,baltic_media,False,2,3,0.0,0.0,24.15,,False,False
6979,3,ru_state,True,1,1,1.0,1.0,27.86,,True,False
6998,4,ru_state,True,1,1,1.0,1.0,84.32,,True,False
7009,10,ru_state,True,1,1,1.0,0.9,95.28,,True,False
