cluster_id,plmse,alpha,n_signals,has_state,has_trusted,is_hostile
5112,0.00227496,0.7728,11,t,t,
5114,0.00617417,3.4437,14,t,f,
5117,0.00402473,2.1515,5,t,f,
5119,0.02956381,0.3547,14,f,t,
5120,0.01000075,0.5375,5,f,t,
5121,0.04030078,0.3731,5,f,t,
5122,0.00530074,37.9707,7,t,f,
5123,0.00350872,0.2853,15,t,t,
5124,0.00279027,1.3200,10,t,f,
5138,0.02129557,1.2829,11,t,t,t
5142,0.03640636,1.3662,15,t,f,
5143,0.04666514,0.4439,11,f,t,
5147,0.04590488,1.0138,12,f,t,
5148,0.00859680,0.3131,5,t,t,
5149,0.01028724,0.1793,6,f,t,
5150,0.01443235,0.7125,6,t,f,
5152,0.02094301,1.3171,15,t,t,
5159,0.00827571,1.1463,13,t,f,
5186,0.00663219,4.5797,7,t,f,
5191,0.07105927,0.3177,8,t,t,f
5192,0.00275613,0.1609,8,t,f,
5193,0.00870061,0.4831,5,t,f,
5195,0.00717685,0.3550,15,t,t,
5196,0.00729661,1.4273,8,t,f,
5200,0.05590658,0.5513,15,f,t,
5205,0.00375040,0.2699,7,f,t,
5207,0.02227901,0.4915,7,t,t,
5208,0.01700507,0.4784,8,t,t,
5212,0.00826303,3.4219,5,f,t,
5229,0.01105847,0.4397,15,t,f,
5232,0.00802694,0.3489,6,f,t,
5236,0.11492483,0.3589,9,t,t,
5237,0.04443825,0.3357,12,t,t,f
5243,0.12175140,0.4052,15,t,f,
5247,0.02005345,1.5798,7,t,t,
5253,0.07638350,0.1904,6,t,f,
5264,0.01413687,0.2192,8,t,t,f
5265,0.01694104,2.2694,11,f,t,
5268,0.00974969,0.1921,15,t,t,f
5273,0.01370019,0.4038,5,f,t,
5278,0.02513465,0.8581,6,t,t,f
5281,0.01773295,2.4260,15,t,f,
5285,0.03851574,1.4881,11,f,f,
5286,0.01700641,0.2496,8,t,t,
5288,0.00782665,0.6359,11,f,f,
5293,0.01874281,2.6409,10,f,f,
5295,0.01721521,0.6530,15,f,f,
5300,0.02148848,0.5209,5,f,f,
5304,0.02402248,0.4714,7,f,t,
